Model,MAE,RMSE,Peak_RMSE,Role
A0_XGBoost,370.0687644981152,614.2716344503913,593.250282425323,Primary
A1_MA_ARIMA,1726.0861802156776,2170.1955403088564,1966.8689596360339,Comparative
A3_Hybrid,1763.523842820112,2090.704391451972,2023.7911877084487,Comparative
